 PNT     QH        QK        QL        EN          M1       M2      TIME     CNTS       M3     A2        A3        A4        TT    
   1    1.9997   -0.0002    0.0000    2.9989     5000     1914      7.94      217       23   37.4031  -33.9700  -53.8375   11.7999 
   2    1.9996    0.0198    0.0000    2.9989     5000     1834      8.04      186       33   37.4031  -33.3975  -53.8375   11.8001 
   3    1.9997    0.0398    0.0000    2.9989     5000     1846      7.97      167       40   37.4031  -32.8275  -53.8500   11.8000 
   4    1.9998    0.0598    0.0000    2.9989     5000     1895      8.03      170       37   37.4031  -32.2625  -53.8675   11.7999 
   5    1.9999    0.0799    0.0000    2.9989     5000     1759      7.79      175       49   37.4031  -31.6975  -53.8900   11.7999 
   6    2.0001    0.1000    0.0000    2.9989     5000     1836     12.57      209       60   37.4031  -31.1350  -53.9225   11.8000 
   7    2.0002    0.1200    0.0000    2.9989     5000     1862     10.02      198      105   37.4031  -30.5775  -53.9600   11.7999 
   8    2.0004    0.1402    0.0000    2.9989     5000     1942      8.09      216      119   37.4031  -30.0200  -54.0025   11.8000 
   9    1.9999    0.1599    0.0000    2.9989     5000     1882      7.77      238      181   37.4031  -29.4675  -54.0325   11.7999 
  10    2.0002    0.1800    0.0000    2.9989     5000     1948      8.03      266      172   37.4031  -28.9200  -54.0900   11.8001 
  11    2.0003    0.2001    0.0000    2.9989     5000     1858      8.07      298      206   37.4031  -28.3725  -54.1500   11.7999 
  12    2.0004    0.2201    0.0000    2.9989     5000     1864      7.84      332      230   37.4031  -27.8300  -54.2125   11.8000 
  13    2.0000    0.2400    0.0000    2.9989     5000     1801      7.77      395      206   37.4031  -27.2900  -54.2700   11.8000 
  14    2.0003    0.2601    0.0000    2.9989     5000     1887      8.16      527      166   37.4031  -26.7550  -54.3525   11.8000 
  15    2.0004    0.2802    0.0000    2.9989     5000     1914      8.04      656       90   37.4031  -26.2225  -54.4325   11.8000 
  16    2.0003    0.3001    0.0000    2.9989     5000     1838      7.94      822       65   37.4031  -25.6950  -54.5150   11.7999 
  17    2.0004    0.3202    0.0000    2.9989     5000     1824      7.67      845       51   37.4031  -25.1700  -54.6075   11.8001 
  18    2.0003    0.3401    0.0000    2.9989     5000     1817      7.91      915       45   37.4031  -24.6500  -54.7000   11.7999 
  19    2.0004    0.3601    0.0000    2.9989     5000     1817      7.92      906       27   37.4031  -24.1350  -54.8050   11.8011 
  20    2.0001    0.3800    0.0000    2.9989     5000     1871      7.90      714       29   37.4031  -23.6225  -54.9050   11.8000 
  21    2.0003    0.4001    0.0000    2.9989     5000     1780      7.75      558       23   37.4031  -23.1150  -55.0250   11.7998 
  22    2.0003    0.4202    0.0000    2.9989     5000     1894      7.97      470       28   37.4031  -22.6100  -55.1425   11.8001 
  23    2.0003    0.4401    0.0000    2.9989     5000     1945      7.95      347       23   37.4031  -22.1125  -55.2675   11.7999 
  24    2.0003    0.4602    0.0000    2.9989     5000     1893      8.13      250       18   37.4031  -21.6175  -55.3975   11.7998 
  25    2.0004    0.4802    0.0000    2.9989     5000     1862      7.97      206       19   37.4031  -21.1275  -55.5350   11.7999 
  26    2.0003    0.5002    0.0000    2.9989     5000     1851      7.83      168       18   37.4031  -20.6425  -55.6725   11.8000 
  27    2.0003    0.5202    0.0000    2.9989     5000     1848      7.76      135       13   37.4031  -20.1625  -55.8200   11.8000 
  28    2.0003    0.5402    0.0000    2.9989     5000     1835      7.87      110       17   37.4031  -19.6875  -55.9725   11.8000 
  29    2.0003    0.5602    0.0000    2.9989     5000     1843      7.93      113       15   37.4031  -19.2175  -56.1300   11.8001 
  30    2.0004    0.5802    0.0000    2.9989     5000     1954      8.12       99       16   37.4031  -18.7525  -56.2950   11.8001 
  31    2.0003    0.6002    0.0000    2.9989     5000     1863      7.96       85       12   37.4031  -18.2925  -56.4625   11.8001 
