 PNT     QH        QK        QL        EN          M1       M2      TIME     CNTS       M3     A2        A3        A4        TT    
   1    1.8745   -0.0003    0.0000   -0.0023      500      189      0.84        2        0   41.2058  -28.0875  -52.5225   11.8000 
   2    1.8803    0.0001    0.0000   -0.0023      500      182      0.75        5        0   41.2058  -28.1625  -52.6975   11.8000 
   3    1.8853    0.0001    0.0000   -0.0023      500      170      0.79        5        0   41.2058  -28.2375  -52.8475   11.8000 
   4    1.8904    0.0000    0.0000   -0.0023      500      185      0.77        6        2   41.2058  -28.3150  -53.0000   11.8001 
   5    1.8953    0.0000    0.0000   -0.0023      500      175      0.81        9        2   41.2058  -28.3900  -53.1500   11.8000 
   6    1.9004    0.0001    0.0000   -0.0023      500      191      0.81        6        2   41.2058  -28.4650  -53.3025   11.8001 
   7    1.9053    0.0001    0.0000   -0.0023      500      191      0.79        4        2   41.2058  -28.5400  -53.4525   11.8000 
   8    1.9104    0.0000    0.0000   -0.0023      500      191      0.84       20        2   41.2058  -28.6175  -53.6050   11.8001 
   9    1.9153    0.0000    0.0000   -0.0023      500      182      0.84       11        3   41.2058  -28.6925  -53.7550   11.8002 
  10    1.9203    0.0001    0.0000   -0.0023      500      173      0.78       21        6   41.2058  -28.7675  -53.9075   11.8002 
  11    1.9254    0.0000    0.0000   -0.0023      500      211      0.81       44        5   41.2058  -28.8450  -54.0600   11.8001 
  12    1.9303    0.0000    0.0000   -0.0023      500      185      0.83       93       11   41.2058  -28.9200  -54.2100   11.8002 
  13    1.9353    0.0001    0.0000   -0.0023      500      195      0.82      164       11   41.2058  -28.9950  -54.3625   11.8001 
  14    1.9403    0.0000    0.0000   -0.0023      500      154      0.75      351       14   41.2058  -29.0725  -54.5150   11.8002 
  15    1.9453    0.0001    0.0000   -0.0023      500      191      0.79      888       22   41.2058  -29.1475  -54.6675   11.8002 
  16    1.9503    0.0000    0.0000   -0.0023      500      194      0.87     1983       39   41.2058  -29.2250  -54.8200   11.8002 
  17    1.9553    0.0001    0.0000   -0.0023      500      204      0.86     3730       24   41.2058  -29.3000  -54.9725   11.8002 
  18    1.9603    0.0000    0.0000   -0.0023      500      186      0.82     5146       48   41.2058  -29.3775  -55.1250   11.8002 
  19    1.9653    0.0001    0.0000   -0.0023      500      189      0.79     6282       55   41.2058  -29.4525  -55.2775   11.8002 
  20    1.9703    0.0000    0.0000   -0.0023      500      203      0.81     7717       62   41.2058  -29.5300  -55.4300   11.8001 
  21    1.9753    0.0001    0.0000   -0.0023      500      208      0.84     9101       81   41.2058  -29.6050  -55.5825   11.8002 
