 PNT     QH        QK        QL        EN          M1       M2      TIME     CNTS       M3     A2        A3        A4        TT    
   1    2.0003    0.6001    0.0000    2.4982     5000     1939      8.31       54        9   37.9647  -17.7525  -56.9925   11.8001 
   2    1.9997    0.5997    0.0000    2.7495     5000     1882      7.88       81       11   37.6797  -18.0225  -56.7050   11.7999 
   3    1.9996    0.5996    0.0000    2.9989     5000     1900      8.09       89        8   37.4031  -18.2925  -56.4375   11.8000 
   4    1.9997    0.5997    0.0000    3.2491     5000     1938      8.04      132        9   37.1316  -18.5600  -56.1750   11.7999 
   5    1.9997    0.5997    0.0000    3.4999     5000     1779      7.82      158       16   36.8654  -18.8275  -55.9100   11.8000 
   6    1.9996    0.5996    0.0000    3.7486     5000     1810      7.55      281       16   36.6069  -19.0925  -55.6475   11.7999 
   7    1.9997    0.5997    0.0000    4.0000     5000     1865      7.78      377       14   36.3511  -19.3575  -55.3875   11.7999 
   8    1.9997    0.5997    0.0000    4.2495     5000     1728      7.56      432       14   36.1025  -19.6225  -55.1275   11.8001 
   9    1.9997    0.5997    0.0000    4.4993     5000     1750      7.44      423       10   35.8587  -19.8850  -54.8675   11.7999 
  10    1.9997    0.5996    0.0000    4.7482     5000     1691      7.20      343       11   35.6205  -20.1475  -54.6100   11.8008 
  11    1.9997    0.5996    0.0000    4.9971     5000     1717      7.33      206       11   35.3870  -20.4075  -54.3525   11.7999 
  12    1.9996    0.5997    0.0000    5.2476     5000     1727      7.28      125       16   35.1567  -20.6675  -54.0950   11.8000 
  13    1.9996    0.5997    0.0000    5.4989     5000     1790      7.27       88       16   34.9299  -20.9275  -53.8375   11.7999 
  14    1.9997    0.5997    0.0000    5.7481     5000     1732      7.24       63       18   34.7095  -21.1875  -53.5825   11.7998 
  15    1.9997    0.5998    0.0000    6.0009     5000     1706      7.13       57       21   34.4900  -21.4450  -53.3275   11.7999 
  16    1.9996    0.5997    0.0000    6.2481     5000     1614      6.84       48       11   34.2794  -21.7025  -53.0725   11.7998 
  17    1.9997    0.5997    0.0000    6.4993     5000     1698      6.84       32       10   34.0693  -21.9600  -52.8200   11.7996 
  18    1.9996    0.5996    0.0000    6.7468     5000     1559      6.73       41        8   33.8660  -22.2150  -52.5675   11.7997 
  19    1.9996    0.5997    0.0000    6.9976     5000     1615      6.90       35        9   33.6637  -22.4700  -52.3150   11.7997 
  20    1.9997    0.5998    0.0000    7.2496     5000     1599      6.69       38       20   33.4641  -22.7250  -52.0625   11.7998 
  21    1.9996    0.5996    0.0000    7.4974     5000     1588      6.61       35       20   33.2711  -22.9800  -51.8100   11.7998 
