 PNT     QH        QK        QL        EN          M1       M2      TIME     CNTS       M3     A2        A3        A4        TT    
   1    2.4996   -0.0003    0.0000    5.2476     5000     1709      7.32       84       20   35.1567  -41.6325  -66.2925   29.5544 
   2    2.4996   -0.0003    0.0000    5.4978     5000     1702      7.25       72       20   34.9310  -41.7900  -65.9950   31.4535 
   3    2.4996   -0.0002    0.0000    5.7481     5000     1718      7.12       78       16   34.7095  -41.9475  -65.6975   32.6053 
   4    2.4997   -0.0001    0.0000    6.0015     5000     1669      6.96       72        8   34.4895  -42.1075  -65.4025   34.2092 
   5    2.4996   -0.0002    0.0000    6.2481     5000     1659      6.96      120       14   34.2794  -42.2650  -65.1125   35.6820 
   6    2.4996   -0.0002    0.0000    6.4993     5000     1637      7.05      135       18   34.0693  -42.4250  -64.8200   36.6093 
   7    2.4996   -0.0003    0.0000    6.7468     5000     1623      6.84      169       13   33.8660  -42.5825  -64.5325   37.9319 
   8    2.4996   -0.0003    0.0000    6.9969     5000     1538      6.71      219       11   33.6643  -42.7425  -64.2450   38.7663 
   9    2.4996   -0.0002    0.0000    7.2496     5000     1651      6.73      235       19   33.4641  -42.9025  -63.9575   39.9691 
  10    2.4996   -0.0003    0.0000    7.4974     5000     1590      6.67      205       15   33.2711  -43.0625  -63.6750   40.7454 
  11    2.4996   -0.0002    0.0000    7.7475     5000     1570      6.70      197       15   33.0798  -43.2200  -63.3925   41.8528 
  12    2.4996   -0.0001    0.0000    7.9992     5000     1536      6.64      166       16   32.8905  -43.3800  -63.1125   42.5761 
  13    2.4996   -0.0002    0.0000    8.2488     5000     1692      6.70      143        5   32.7059  -43.5400  -62.8325   43.9566 
  14    2.4996   -0.0003    0.0000    8.4977     5000     1634      6.88      120       11   32.5249  -43.7025  -62.5550   44.6232 
  15    2.4995   -0.0003    0.0000    8.7464     5000     1647      7.16       90       17   32.3471  -43.8625  -62.2775   45.5979 
  16    2.4996   -0.0001    0.0000    9.0007     5000     1738      7.25       49       13   32.1682  -44.0225  -62.0025   46.2317 
  17    2.4995   -0.0002    0.0000    9.2472     5000     1738      7.32       46       16   31.9977  -44.1825  -61.7300   47.1584 
  18    2.4995   -0.0003    0.0000    9.4969     5000     1710      7.24       48       13   31.8276  -44.3450  -61.4575   48.0621 
  19    2.4996   -0.0002    0.0000    9.7491     5000     1721      7.32       27       11   31.6586  -44.5050  -61.1875   48.6462 
