 PNT     QH        QK        QL        EN          M1       M2      TIME     CNTS       M3     A2        A3        A4        TT    
   1    2.0003    0.8502    0.0000    2.4982     5000     1918      8.22       77       12   37.9647  -12.4975  -59.5600   11.7996 
   2    1.9997    0.8497    0.0000    2.7495     5000     1980      8.13       71       14   37.6797  -12.7425  -59.2600   11.7998 
   3    1.9997    0.8496    0.0000    2.9989     5000     1846      7.74       72        7   37.4031  -12.9850  -58.9825   11.7997 
   4    1.9998    0.8497    0.0000    3.2496     5000     1845      7.74      108       14   37.1311  -13.2300  -58.7100   11.7999 
   5    1.9997    0.8498    0.0000    3.4999     5000     1834      7.84      155       12   36.8654  -13.4700  -58.4375   11.8001 
   6    1.9997    0.8496    0.0000    3.7486     5000     1797      7.71      194       16   36.6069  -13.7125  -58.1650   11.7999 
   7    1.9997    0.8498    0.0000    4.0000     5000     1792      7.50      292       11   36.3511  -13.9525  -57.8950   11.8000 
   8    1.9997    0.8497    0.0000    4.2495     5000     1732      7.62      289        6   36.1025  -14.1925  -57.6250   11.7999 
   9    1.9997    0.8497    0.0000    4.4993     5000     1765      7.41      297       11   35.8587  -14.4325  -57.3575   11.8000 
  10    1.9997    0.8496    0.0000    4.7482     5000     1780      7.42      257        9   35.6205  -14.6725  -57.0900   11.7998 
  11    1.9996    0.8495    0.0000    4.9982     5000     1698      7.28      202       12   35.3860  -14.9100  -56.8200   11.8000 
  12    1.9997    0.8496    0.0000    5.2481     5000     1775      7.52      123       15   35.1561  -15.1475  -56.5600   11.8001 
  13    1.9997    0.8497    0.0000    5.4989     5000     1710      7.42       97       11   34.9299  -15.3850  -56.2950   11.7998 
  14    1.9997    0.8497    0.0000    5.7481     5000     1671      7.20       71       12   34.7095  -15.6200  -56.0325   11.8001 
  15    1.9998    0.8498    0.0000    6.0009     5000     1674      7.07       50       12   34.4900  -15.8575  -55.7700   11.7999 
  16    1.9997    0.8496    0.0000    6.2481     5000     1663      7.09       54       14   34.2794  -16.0925  -55.5075   11.7999 
  17    1.9997    0.8496    0.0000    6.4993     5000     1654      6.80       53       10   34.0693  -16.3275  -55.2475   11.8002 
  18    1.9997    0.8496    0.0000    6.7468     5000     1593      6.76       40       14   33.8660  -16.5600  -54.9900   11.8003 
  19    1.9997    0.8496    0.0000    6.9976     5000     1557      6.81       54       11   33.6637  -16.7950  -54.7300   11.8003 
  20    1.9997    0.8497    0.0000    7.2496     5000     1624      6.75       44        6   33.4641  -17.0275  -54.4725   11.8001 
  21    1.9997    0.8496    0.0000    7.4967     5000     1572      6.66       46       11   33.2717  -17.2600  -54.2175   11.8000 
