 PNT     QH        QK        QL        EN          M1       M2      TIME     CNTS       M3     A2        A3        A4        TT    
   1    3.0002    0.0000    0.0000    5.2476     5000     1647      7.29       77       10   35.1567  -47.9700  -82.3350   57.7735 
   2    2.9995   -0.0004    0.0000    5.4972     5000     1789      7.30       43       17   34.9315  -48.0175  -81.9400   58.4797 
   3    2.9996   -0.0004    0.0000    5.7476     5000     1738      7.32       63       16   34.7100  -48.0700  -81.5750   59.1716 
   4    2.9998   -0.0002    0.0000    6.0009     5000     1594      6.97       56       19   34.4900  -48.1225  -81.2100   59.6312 
   5    2.9996   -0.0003    0.0000    6.2475     5000     1717      7.01       60       12   34.2799  -48.1750  -80.8475   60.3157 
   6    2.9997   -0.0003    0.0000    6.4993     5000     1611      6.89       70        8   34.0693  -48.2325  -80.4925   60.9874 
   7    2.9995   -0.0004    0.0000    6.7468     5000     1682      6.73       78       22   33.8660  -48.2900  -80.1375   61.4256 
   8    2.9995   -0.0004    0.0000    6.9969     5000     1628      6.74       73       18   33.6643  -48.3475  -79.7875   62.0894 
   9    2.9997   -0.0002    0.0000    7.2502     5000     1585      6.62      120       12   33.4635  -48.4075  -79.4400   62.7431 
  10    2.9997   -0.0003    0.0000    7.4981     5000     1545      6.77      135       22   33.2706  -48.4700  -79.1000   63.1711 
  11    2.9996   -0.0003    0.0000    7.7475     5000     1571      6.75      176       13   33.0798  -48.5325  -78.7575   63.8105 
  12    2.9997   -0.0002    0.0000    7.9992     5000     1602      6.76      181       12   32.8905  -48.5950  -78.4200   64.4506 
  13    2.9996   -0.0003    0.0000    8.2488     5000     1598      6.84      186       21   32.7059  -48.6625  -78.0850   65.0765 
  14    2.9996   -0.0003    0.0000    8.4977     5000     1649      6.96      165       15   32.5249  -48.7275  -77.7550   65.6959 
  15    2.9995   -0.0004    0.0000    8.7457     5000     1675      7.04      152       17   32.3476  -48.7950  -77.4250   66.3180 
  16    2.9997   -0.0002    0.0000    9.0000     5000     1680      7.26      123       15   32.1687  -48.8650  -77.1000   66.9303 
  17    2.9995   -0.0003    0.0000    9.2465     5000     1768      7.35       85       17   31.9982  -48.9325  -76.7750   67.5303 
  18    2.9996   -0.0003    0.0000    9.4969     5000     1675      7.29       65       12   31.8276  -49.0050  -76.4550   68.1389 
  19    2.9996   -0.0003    0.0000    9.7483     5000     1678      7.29       61       13   31.6591  -49.0775  -76.1350   68.7343 
