 PNT     QH        QK        QL        EN          M1       M2      TIME     CNTS       M3     A2        A3        A4        TT    
   1    2.0002    1.0002    0.0000    2.4982     5000     1853      8.00       67       11   37.9647   -9.7700  -61.4775   11.7999 
   2    1.9998    0.9997    0.0000    2.7495     5000     1879      8.22      103        9   37.6797   -9.9950  -61.1725   11.8002 
   3    1.9998    0.9996    0.0000    2.9989     5000     1839      7.99       97       17   37.4031  -10.2225  -60.8875   11.8000 
   4    1.9998    0.9997    0.0000    3.2501     5000     1777      7.74      148        5   37.1306  -10.4475  -60.6050   11.8011 
   5    1.9998    0.9997    0.0000    3.5004     5000     1868      7.87      189       10   36.8649  -10.6725  -60.3250   11.8001 
   6    1.9997    0.9996    0.0000    3.7486     5000     1921      7.75      247       17   36.6069  -10.8950  -60.0425   11.7999 
   7    1.9998    0.9997    0.0000    4.0006     5000     1803      7.61      315       15   36.3506  -11.1200  -59.7675   11.7999 
   8    1.9997    0.9997    0.0000    4.2495     5000     1722      7.48      302       11   36.1025  -11.3425  -59.4900   11.8001 
   9    1.9998    0.9997    0.0000    4.4998     5000     1725      7.39      241        6   35.8581  -11.5650  -59.2175   11.8002 
  10    1.9998    0.9996    0.0000    4.7482     5000     1806      7.57      185       12   35.6205  -11.7875  -58.9425   11.8003 
  11    1.9998    0.9995    0.0000    4.9977     5000     1686      7.41      119       12   35.3865  -12.0100  -58.6700   11.8001 
  12    1.9997    0.9995    0.0000    5.2476     5000     1765      7.29       77       12   35.1567  -12.2300  -58.3975   11.8002 
  13    1.9998    0.9997    0.0000    5.4989     5000     1738      7.37       53        8   34.9299  -12.4500  -58.1300   11.8000 
  14    1.9997    0.9996    0.0000    5.7481     5000     1685     16.05       50       16   34.7095  -12.6700  -57.8600   11.8003 
  15    1.9997    0.9998    0.0000    6.0009     5000     1688      7.01       43       15   34.4900  -12.8900  -57.5925   11.8001 
  16    1.9997    0.9996    0.0000    6.2481     5000     1765      7.11       44       12   34.2794  -13.1100  -57.3250   11.8002 
  17    1.9997    0.9997    0.0000    6.4999     5000     1579      6.73       34       13   34.0688  -13.3300  -57.0600   11.8001 
  18    1.9997    0.9995    0.0000    6.7468     5000     1551      6.61       44       10   33.8660  -13.5475  -56.7950   11.8000 
  19    1.9998    0.9996    0.0000    6.9976     5000     1517      6.68       44       12   33.6637  -13.7675  -56.5350   11.8000 
  20    1.9997    0.9997    0.0000    7.2502     5000     1572      6.62       45       12   33.4635  -13.9850  -56.2700   11.8002 
  21    1.9997    0.9995    0.0000    7.4967     5000     1560      6.60       68        6   33.2717  -14.2025  -56.0075   11.8002 
