 PNT     QH        QK        QL        EN          M1       M2      TIME     CNTS       M3     A2        A3        A4        TT    
   1    2.7496   -0.0003    0.0000    5.2481     5000     1712      7.21       62        8   35.1561  -44.6425  -74.0975   84.8222 
   2    2.7495   -0.0003    0.0000    5.4972     5000     1769      7.35       52        9   34.9315  -44.7450  -73.7650   85.3247 
   3    2.7496   -0.0003    0.0000    5.7476     5000     1693      7.17       54        8   34.7100  -44.8500  -73.4375   85.8276 
   4    2.7497   -0.0002    0.0000    6.0009     5000     1664      7.14       50       15   34.4900  -44.9550  -73.1100   86.3259 
   5    2.7496   -0.0003    0.0000    6.2481     5000     1634      6.92       38       14   34.2794  -45.0600  -72.7875   86.6552 
   6    2.7496   -0.0002    0.0000    6.4993     5000     1632      6.77       39       14   34.0693  -45.1650  -72.4675   87.1453 
   7    2.7496   -0.0003    0.0000    6.7475     5000     1538      6.71       48       15   33.8655  -45.2725  -72.1500   87.4706 
   8    2.7496   -0.0002    0.0000    6.9982     5000     1617      6.70       64       12   33.6632  -45.3800  -71.8350   87.9649 
   9    2.7497   -0.0002    0.0000    7.2496     5000     1702      6.78       75        6   33.4641  -45.4900  -71.5225   88.4569 
  10    2.7495   -0.0004    0.0000    7.4974     5000     1654      6.85       80       17   33.2711  -45.6000  -71.2100   88.7823 
  11    2.7495   -0.0004    0.0000    7.7468     5000     1515      6.69      111       16   33.0803  -45.7100  -70.9025   89.2658 
  12    2.7497   -0.0002    0.0000    7.9992     5000     1611      6.75      132        8   32.8905  -45.8200  -70.5975   89.5873 
  13    2.7496   -0.0003    0.0000    8.2488     5000     1639      6.74      153       19   32.7059  -45.9325  -70.2925   90.2272 
  14    2.7495   -0.0002    0.0000    8.4977     5000     1699      6.92      165       18   32.5249  -46.0425  -69.9900   90.7128 
  15    2.7495   -0.0003    0.0000    8.7464     5000     1650      7.15      180       25   32.3471  -46.1550  -69.6925   91.0323 
  16    2.7497   -0.0002    0.0000    9.0000     5000     1738      7.28      179       15   32.1687  -46.2700  -69.3950   91.5082 
  17    2.7495   -0.0003    0.0000    9.2465     5000     1674      7.02      136       14   31.9982  -46.3825  -69.0975   91.9806 
  18    2.7495   -0.0003    0.0000    9.4961     5000     1762      7.26      118       10   31.8281  -46.4975  -68.8050   92.2938 
  19    2.7496   -0.0002    0.0000    9.7483     5000     1729      7.31       94       12   31.6591  -46.6125  -68.5125   92.7656 
