 PNT     QH        QK        QL        EN          M1       M2      TIME     CNTS       M3     A2        A3        A4        TT    
   1    1.5200    2.4803    0.0000    2.4978     5000     1930      8.20      280       16   37.9652   12.4250  -83.4675  116.0590 
   2    1.5401    2.4595    0.0000    2.4978     5000     1898      8.04      361       19   37.9652   11.9850  -83.2175  116.3440 
   3    1.5601    2.4395    0.0000    2.4978     5000     1956      8.33      510       18   37.9652   11.5400  -83.0000  116.5300 
   4    1.5801    2.4195    0.0000    2.4978     5000     1937      8.09      731       25   37.9652   11.0875  -82.7900  116.8050 
   5    1.6001    2.3995    0.0000    2.4978     5000     1954      8.07     1034       13   37.9652   10.6275  -82.5925  117.0770 
