 PNT     A3          M1       M2      TIME     CNTS       M3     A2        A3        A4        TT    
   1  -40.0000      500      196      0.76       29        1   41.2058  -40.0000  -56.3475   11.8000 
   2  -39.8000      500      180      0.82       27        0   41.2058  -39.8000  -56.3475   11.8002 
   3  -39.6000      500      178      0.75       34        2   41.2058  -39.6000  -56.3475   11.8002 
   4  -39.4000      500      215      0.87       46        0   41.2058  -39.4000  -56.3475   11.8001 
   5  -39.2000      500      187      0.79       35        3   41.2058  -39.2000  -56.3475   11.8001 
   6  -39.0000      500      196      0.74       35        2   41.2058  -39.0000  -56.3475   11.8001 
   7  -38.8000      500      212      0.82       26        2   41.2058  -38.8000  -56.3475   11.8001 
   8  -38.6000      500      196      0.82       36        2   41.2058  -38.6000  -56.3475   11.7999 
   9  -38.4000      500      207      0.79       21        2   41.2058  -38.4000  -56.3475   11.8002 
  10  -38.2000      500      199      0.83       16        5   41.2058  -38.2000  -56.3475   11.8002 
  11  -38.0000      500      193      0.78       27        1   41.2058  -38.0000  -56.3475   11.8000 
  12  -37.8000      500      208      0.80       25        4   41.2058  -37.8000  -56.3475   11.8000 
  13  -37.6000      500      219      0.89       31        0   41.2058  -37.6000  -56.3475   11.8000 
  14  -37.4000      500      199      0.86       34        1   41.2058  -37.4000  -56.3475   11.7999 
  15  -37.2000      500      196      0.76       36        1   41.2058  -37.2000  -56.3475   11.8001 
  16  -37.0000      500      187      0.79       33        5   41.2058  -37.0000  -56.3475   11.8000 
  17  -36.8000      500      205      0.86       40        5   41.2058  -36.8000  -56.3475   11.8000 
  18  -36.6000      500      183      0.82       42        4   41.2058  -36.6000  -56.3475   11.7999 
  19  -36.4000      500      198      0.86       53        8   41.2058  -36.4000  -56.3475   11.8000 
  20  -36.2000      500      187      0.85       53        2   41.2058  -36.2000  -56.3475   11.8000 
  21  -36.0000      500      200      0.78       54        3   41.2058  -36.0000  -56.3475   11.7999 
  22  -35.8000      500      196      0.82       74        7   41.2058  -35.8000  -56.3475   11.7999 
  23  -35.6000      500      209      0.84       86        2   41.2058  -35.6000  -56.3475   11.8001 
  24  -35.4000      500      174      0.79       96        8   41.2058  -35.4000  -56.3475   11.8001 
  25  -35.2000      500      199      0.81      112        5   41.2058  -35.2000  -56.3475   11.8000 
  26  -35.0000      500      176      0.77      131        4   41.2058  -35.0000  -56.3475   11.7999 
  27  -34.8000      500      171      0.80      209        4   41.2058  -34.8000  -56.3475   11.7997 
  28  -34.6000      500      193      0.79      512       12   41.2058  -34.6000  -56.3475   11.7997 
  29  -34.4000      500      183      0.76     1004       17   41.2058  -34.4000  -56.3475   11.7998 
  30  -34.2000      500      173      0.74     1186       14   41.2058  -34.2000  -56.3475   11.7999 
  31  -34.0000      500      192      0.78     2306       14   41.2058  -34.0000  -56.3475   11.7999 
  32  -33.8000      500      187      0.87     4816       29   41.2058  -33.8000  -56.3475   11.8000 
  33  -33.6000      500      214      0.85     7560       62   41.2058  -33.6000  -56.3475   11.7999 
  34  -33.4000      500      171      0.80    10476       59   41.2058  -33.4000  -56.3475   11.7998 
  35  -33.2000      500      190      0.82    14184       90   41.2058  -33.2000  -56.3475   11.7998 
  36  -33.0000      500      199      0.83    18638      135   41.2058  -33.0000  -56.3475   11.8000 
  37  -32.8000      500      216      0.88    25013      157   41.2058  -32.8000  -56.3475   11.7999 
  38  -32.6000      500      208      0.82    29207      216   41.2058  -32.6000  -56.3475   11.7999 
  39  -32.4000      500      201      0.85    37051      311   41.2058  -32.4000  -56.3475   11.7999 
  40  -32.2000      500      211      0.80    40615      420   41.2058  -32.2000  -56.3475   11.8000 
