 PNT     A3          M1       M2      TIME     CNTS       M3     A2        A3        A4        TT    
  41  -32.0000      500      197      0.85    48278      536   41.2058  -32.0000  -56.3475   11.7999 
  42  -31.8000      500      188      0.76    46914      635   41.2058  -31.8000  -56.3475   11.7999 
  43  -31.6000      500      184      0.77    50403      734   41.2058  -31.6000  -56.3475   11.8000 
  44  -31.4000      500      200      0.84    55681      955   41.2058  -31.4000  -56.3475   11.8001 
  45  -31.2000      500      189      0.77    51308     1024   41.2058  -31.2000  -56.3475   11.8001 
  46  -31.0000      500      197      0.75    49774     1066   41.2058  -31.0000  -56.3475   11.7999 
  47  -30.8000      500      217      0.89    59681     1379   41.2058  -30.8000  -56.3475   11.8000 
  48  -30.6000      500      223      0.89    60194     1532   41.2058  -30.6000  -56.3475   11.8000 
  49  -30.4000      500      179      0.73    49920     1381   41.2058  -30.4000  -56.3475   11.8001 
  50  -30.2000      500      199      0.85    59110     1839   41.2058  -30.2000  -56.3475   11.8002 
  51  -30.0000      500      169      0.74    52022     1592   41.2058  -30.0000  -56.3475   11.8001 
  52  -29.8000      500      179      0.81    56837     1691   41.2058  -29.8000  -56.3475   11.8001 
  53  -29.6000      500      197      0.80    56170     1710   41.2058  -29.6000  -56.3475   11.8001 
  54  -29.4000      500      199      0.82    57199     1573   41.2058  -29.4000  -56.3475   11.8000 
  55  -29.2000      500      185      0.78    53545     1328   41.2058  -29.2000  -56.3475   11.8000 
  56  -29.0000      500      195      0.83    56043     1411   41.2058  -29.0000  -56.3475   11.8002 
  57  -28.8000      500      178      0.80    53017     1224   41.2058  -28.8000  -56.3475   11.8002 
  58  -28.6000      500      211      0.81    53795     1056   41.2058  -28.6000  -56.3475   11.8001 
  59  -28.4000      500      175      0.79    53074      825   41.2058  -28.4000  -56.3475   11.8001 
  60  -28.2000      500      197      0.82    52923      628   41.2058  -28.2000  -56.3475   11.8000 
  61  -28.0000      500      180      0.78    45246      406   41.2058  -28.0000  -56.3475   11.8003 
  62  -27.8000      500      184      0.81    38829      315   41.2058  -27.8000  -56.3475   11.8002 
  63  -27.6000      500      187      0.75    27800      199   41.2058  -27.6000  -56.3475   11.8002 
  64  -27.4000      500      192      0.79    21812      136   41.2058  -27.4000  -56.3475   11.8003 
  65  -27.2000      500      208      0.93    18659      112   41.2058  -27.2000  -56.3475   11.8002 
  66  -27.0000      500      193      0.78    10325       54   41.2058  -27.0000  -56.3475   11.8002 
  67  -26.8000      500      196      0.85     7746       63   41.2058  -26.8000  -56.3475   11.8001 
  68  -26.6000      500      215      0.80     4720       36   41.2058  -26.6000  -56.3475   11.8004 
  69  -26.4000      500      205      0.83     2969       20   41.2058  -26.4000  -56.3475   11.8003 
  70  -26.2000      500      199      0.83     1716       13   41.2058  -26.2000  -56.3475   11.8003 
  71  -26.0000      500      192      0.77      926       16   41.2058  -26.0000  -56.3475   11.8003 
  72  -25.8000      500      174      0.75      534        7   41.2058  -25.8000  -56.3475   11.8014 
  73  -25.6000      500      197      0.78      341        7   41.2058  -25.6000  -56.3475   11.8003 
  74  -25.4000      500      189      0.80      263        6   41.2058  -25.4000  -56.3475   11.8003 
  75  -25.2000      500      197      0.81      205        7   41.2058  -25.2000  -56.3475   11.8002 
  76  -25.0000      500      195      0.78      156        6   41.2058  -25.0000  -56.3475   11.8000 
  77  -24.8000      500      195      0.79       95        6   41.2058  -24.8000  -56.3475   11.8000 
