 PNT     QH        QK        QL        EN          M1       M2      TIME     CNTS       M3     A2        A3        A4        TT    
   1    1.5997   -0.0002    0.0000    1.9990     5000     1959      8.45      163       11   38.5507  -28.0275  -43.1875   11.8004 
   2    1.6204    0.0001    0.0000    1.9990     5000     1989      8.42      208       20   38.5507  -28.2475  -43.7800   11.8004 
   3    1.6404    0.0000    0.0000    1.9990     5000     1972      8.41      248       19   38.5507  -28.4700  -44.3525   11.8003 
   4    1.6604    0.0001    0.0000    1.9990     5000     1962      8.24      341       20   38.5507  -28.6925  -44.9275   11.8002 
   5    1.6803    0.0000    0.0000    1.9990     5000     2029      8.39      426       17   38.5507  -28.9200  -45.5000   11.7999 
   6    1.7004    0.0001    0.0000    1.9990     5000     1954      8.26      567       22   38.5507  -29.1475  -46.0800   11.8001 
   7    1.7203    0.0000    0.0000    1.9990     5000     2018      8.41      695       26   38.5507  -29.3775  -46.6550   11.8003 
   8    1.7404    0.0001    0.0000    1.9990     5000     1937      8.07      751       34   38.5507  -29.6075  -47.2350   11.8003 
   9    1.7604    0.0001    0.0000    1.9990     5000     1990     13.53      994       36   38.5507  -29.8400  -47.8150   11.8004 
  10    1.7803    0.0000    0.0000    1.9990     5000     1984     15.93     1021       56   38.5507  -30.0775  -48.3950   11.8006 
  11    1.8004    0.0001    0.0000    1.9990     5000     2035     16.18     1102       63   38.5507  -30.3125  -48.9800   11.8004 
  12    1.8204    0.0001    0.0000    1.9990     5000     1974     16.28     1152       76   38.5507  -30.5525  -49.5625   11.8005 
  13    1.8404    0.0001    0.0000    1.9990     5000     1986     16.22     1188       87   38.5507  -30.7925  -50.1475   11.8004 
  14    1.8603    0.0000    0.0000    1.9990     5000     1915     15.71     1153       93   38.5507  -31.0350  -50.7325   11.8006 
  15    1.8804    0.0001    0.0000    1.9990     5000     2054     15.99     1184      138   38.5507  -31.2775  -51.3225   11.8004 
  16    1.9003    0.0001    0.0000    1.9990     5000     1955     19.52     1236      157   38.5507  -31.5225  -51.9100   11.8003 
  17    1.9203    0.0001    0.0000    1.9990     5000     1975     16.08     1265      180   38.5507  -31.7700  -52.5025   11.7999 
  18    1.9404    0.0001    0.0000    1.9990     5000     1932     16.01     1171      159   38.5507  -32.0175  -53.0950   11.8004 
  19    1.9604    0.0001    0.0000    1.9990     5000     1989     15.89     1061      109   38.5507  -32.2675  -53.6900   11.8002 
  20    1.9803    0.0001    0.0000    1.9990     5000     1958     15.87      958      105   38.5507  -32.5200  -54.2825   11.8005 
  21    2.0003    0.0001    0.0000    1.9990     5000     1998     15.81      894       98   38.5507  -32.7725  -54.8800   11.8006 
  22    2.0204    0.0001    0.0000    1.9990     5000     2013     16.15     1072       82   38.5507  -33.0275  -55.4800   11.8004 
  23    2.0404    0.0001    0.0000    1.9990     5000     2014     16.41     1154       82   38.5507  -33.2850  -56.0800   11.8003 
  24    2.0603    0.0001    0.0000    1.9990     5000     1883     10.27     1116       71   38.5507  -33.5425  -56.6800   11.8004 
  25    2.0803    0.0001    0.0000    1.9990     5000     1978     10.66     1179       68   38.5507  -33.8025  -57.2850   11.8002 
  26    2.1003    0.0001    0.0000    1.9990     5000     1934      8.76     1011       57   38.5507  -34.0625  -57.8900   11.8002 
  27    2.1204    0.0002    0.0000    1.9990     5000     1921      8.42     1084       53   38.5507  -34.3250  -58.4975   11.8000 
  28    2.1404    0.0002    0.0000    1.9990     5000     2059      8.43      894       50   38.5507  -34.5900  -59.1075   11.8005 
  29    2.1604    0.0002    0.0000    1.9990     5000     1973      8.42      848       49   38.5507  -34.8550  -59.7175   11.8003 
  30    2.1804    0.0002    0.0000    1.9990     5000     2026      8.57      861       25   38.5507  -35.1225  -60.3300   11.8005 
  31    2.2004    0.0001    0.0000    1.9990     5000     2003      8.32      741       37   38.5507  -35.3925  -60.9450   11.8005 
  32    2.2204    0.0001    0.0000    1.9990     5000     1978      8.37      728       33   38.5507  -35.6625  -61.5600   11.8004 
  33    2.2403    0.0001    0.0000    1.9990     5000     1963      8.31      628       24   38.5507  -35.9350  -62.1775   11.8002 
  34    2.2603    0.0001    0.0000    1.9990     5000     1957      8.31      563       21   38.5507  -36.2075  -62.7975   11.8001 
  35    2.2803    0.0001    0.0000    1.9990     5000     1886      8.38      468       20   38.5507  -36.4825  -63.4200   11.8004 
  36    2.3004    0.0001    0.0000    1.9990     5000     1918      8.53      365       16   38.5507  -36.7600  -64.0450   11.8003 
  37    2.3204    0.0001    0.0000    1.9990     5000     1987      8.54      280       14   38.5507  -37.0375  -64.6725   11.8001 
  38    2.3404    0.0001    0.0000    1.9990     5000     1954      8.43      200       11   38.5507  -37.3175  -65.3000   11.8003 
  39    2.3603    0.0002    0.0000    1.9990     5000     2007      8.35      147       19   38.5507  -37.5975  -65.9300   11.8001 
  40    2.3803    0.0002    0.0000    1.9990     5000     1884      8.26      104       16   38.5507  -37.8800  -66.5625   11.8000 
  41    2.4003    0.0001    0.0000    1.9990     5000     1940      8.30       98       11   38.5507  -38.1650  -67.1975   11.8001 
