 PNT     QH        QK        QL        EN          M1       M2      TIME     CNTS       M3     A2        A3        A4        TT    
   1    1.9997    0.0999    0.0000    3.4999     5000     1794      7.83      152       38   36.8654  -31.7225  -53.4025   11.8001 
   2    1.9999    0.1200    0.0000    3.4999     5000     1700      7.76      149       44   36.8654  -31.1625  -53.4400   11.8001 
   3    2.0001    0.1400    0.0000    3.4999     5000     1852      7.83      168       48   36.8654  -30.6075  -53.4825   11.8002 
   4    2.0003    0.1601    0.0000    3.4999     5000     1786      7.75      156       67   36.8654  -30.0525  -53.5325   11.8001 
   5    2.0004    0.1802    0.0000    3.4999     5000     1898      7.89      162       75   36.8654  -29.5025  -53.5850   11.8000 
   6    2.0000    0.2000    0.0000    3.4999     5000     1872      7.84      183      104   36.8654  -28.9550  -53.6300   11.8000 
   7    2.0003    0.2201    0.0000    3.4999     5000     1855      7.72      156      107   36.8654  -28.4125  -53.7000   11.8000 
   8    2.0004    0.2402    0.0000    3.4999     5000     1902      7.72      190       99   36.8654  -27.8700  -53.7700   11.8001 
   9    2.0002    0.2601    0.0000    3.4999     5000     1847      7.77      171       89   36.8654  -27.3325  -53.8375   11.8001 
  10    2.0004    0.2802    0.0000    3.4999     5000     1751      7.73      221       69   36.8654  -26.8000  -53.9200   11.8000 
  11    2.0004    0.3002    0.0000    3.4999     5000     1881      7.86      269       68   36.8654  -26.2700  -54.0050   11.8000 
  12    2.0004    0.3201    0.0000    3.4999     5000     1925      7.87      377       65   36.8654  -25.7450  -54.0925   11.8001 
  13    2.0003    0.3401    0.0000    3.4999     5000     1867      7.83      434       39   36.8654  -25.2225  -54.1875   11.8002 
  14    2.0004    0.3602    0.0000    3.4999     5000     1812      7.69      497       47   36.8654  -24.7025  -54.2900   11.8001 
  15    2.0003    0.3801    0.0000    3.4999     5000     1855      7.68      626       38   36.8654  -24.1900  -54.3950   11.8000 
  16    2.0004    0.4002    0.0000    3.4999     5000     1797      7.69      704       33   36.8654  -23.6800  -54.5100   11.8000 
  17    2.0003    0.4202    0.0000    3.4999     5000     1818      7.81      682       23   36.8654  -23.1725  -54.6250   11.8010 
  18    2.0004    0.4402    0.0000    3.4999     5000     1742      7.62      567       20   36.8654  -22.6725  -54.7500   11.8002 
  19    2.0002    0.4601    0.0000    3.4999     5000     1870      7.77      528       15   36.8654  -22.1750  -54.8750   11.8001 
  20    2.0003    0.4802    0.0000    3.4999     5000     1827      7.82      439       27   36.8654  -21.6825  -55.0125   11.7999 
  21    2.0003    0.5002    0.0000    3.4999     5000     1784      7.71      382       24   36.8654  -21.1950  -55.1525   11.7999 
  22    2.0003    0.5202    0.0000    3.4999     5000     1854      7.68      319       24   36.8654  -20.7125  -55.2975   11.7999 
  23    2.0004    0.5403    0.0000    3.4999     5000     1779      7.86      243       11   36.8654  -20.2325  -55.4500   11.8000 
  24    2.0003    0.5602    0.0000    3.4999     5000     1863      7.88      222       25   36.8654  -19.7600  -55.6050   11.8002 
  25    2.0003    0.5803    0.0000    3.4999     5000     1877      8.04      193        8   36.8654  -19.2900  -55.7675   11.8001 
  26    2.0004    0.6002    0.0000    3.4999     5000     1795      7.65      146        9   36.8654  -18.8275  -55.9350   11.8000 
  27    2.0003    0.6202    0.0000    3.4999     5000     1847      7.79      155       15   36.8654  -18.3675  -56.1050   11.8000 
  28    2.0004    0.6403    0.0000    3.4999     5000     1890      7.97      150       11   36.8654  -17.9150  -56.2850   11.8001 
  29    2.0003    0.6603    0.0000    3.4999     5000     1885      7.77      158       13   36.8654  -17.4650  -56.4650   11.7999 
  30    2.0003    0.6803    0.0000    3.4999     5000     1887      7.70      149       10   36.8654  -17.0225  -56.6550   11.8001 
  31    2.0003    0.7002    0.0000    3.4999     5000     1806      7.80      117        9   36.8654  -16.5850  -56.8475   11.8001 
