 PNT     A3          M1       M2      TIME     CNTS       M3     A2        A3        A4        TT    
  72  -23.8000      500      165      0.80        1        1   41.2058  -23.8000  -56.3475   11.7998 
  73  -23.6000      500      192      0.85        1        0   41.2058  -23.6000  -56.3475   11.7998 
  74  -23.4000      500      184      0.87        2        0   41.2058  -23.4000  -56.3475   11.7999 
  75  -23.2000      500      204      0.77        1        0   41.2058  -23.2000  -56.3475   11.7999 
  76  -23.0000      500      206      0.84        4        0   41.2058  -23.0000  -56.3475   11.7999 
  77  -22.8000      500      159      0.76        3        0   41.2058  -22.8000  -56.3475   11.7998 
  78  -22.6000      500      212      0.79        1        0   41.2058  -22.6000  -56.3475   11.7999 
  79  -22.4000      500      155      0.81        2        0   41.2058  -22.4000  -56.3475   11.7999 
  80  -22.2000      500      187      0.83        1        0   41.2058  -22.2000  -56.3475   11.7999 
  81  -22.0000      500      188      0.77        0        0   41.2058  -22.0000  -56.3475   11.7999 
