 PNT     SGU         M1       M2      TIME     CNTS       M3     A2        A3        A4        TT    
   1   -9.9999      500      214      0.86        0        0   41.2058  -29.9900  -56.3475   11.7999 
   2   -9.0001      500      197      0.78        1        1   41.2058  -29.9900  -56.3475   11.7999 
   3   -8.0001      500      209      0.86        2        0   41.2058  -29.9900  -56.3475   11.7999 
   4   -7.0000      500      192      0.80        1        0   41.2058  -29.9900  -56.3475   11.8002 
   5   -6.0000      500      192      0.80        1        0   41.2058  -29.9900  -56.3475   11.8002 
   6   -4.9999      500      181      0.77        0        0   41.2058  -29.9900  -56.3475   11.8000 
   7   -3.9999      500      179      0.77        0        1   41.2058  -29.9900  -56.3475   11.8001 
