 PNT     QH        QK        QL        EN          M1       M2      TIME     CNTS       M3     A2        A3        A4        TT    
   1    1.4996   -0.0002    0.0000    4.9977     5000     1753      7.29       55       12   35.3865  -32.7825  -37.8200   11.8004 
   2    1.5204   -0.0001    0.0000    4.9977     5000     1700      7.25       45       13   35.3865  -32.8775  -38.3925   11.8002 
   3    1.5403   -0.0001    0.0000    4.9977     5000     1760      7.46       68       16   35.3865  -32.9775  -38.9425   11.8002 
   4    1.5603   -0.0000    0.0000    4.9977     5000     1776      7.49       48       13   35.3865  -33.0800  -39.4950   11.8002 
   5    1.5803   -0.0001    0.0000    4.9977     5000     1721      7.38       62       13   35.3865  -33.1900  -40.0475   11.8002 
   6    1.6003   -0.0001    0.0000    4.9977     5000     1748      7.37       46       11   35.3865  -33.3025  -40.6000   11.8003 
   7    1.6204   -0.0001    0.0000    4.9977     5000     1742      7.45       78       13   35.3865  -33.4200  -41.1550   11.8003 
   8    1.6404   -0.0001    0.0000    4.9977     5000     1668      7.36       82        9   35.3865  -33.5400  -41.7100   11.8001 
   9    1.6603   -0.0001    0.0000    4.9977     5000     1711      7.41      114       11   35.3865  -33.6650  -42.2625   11.8002 
  10    1.6803   -0.0000    0.0000    4.9977     5000     1814      7.49      122       12   35.3865  -33.7925  -42.8200   11.8014 
  11    1.7003   -0.0000    0.0000    4.9977     5000     1749      7.43      161       18   35.3865  -33.9250  -43.3750   11.8003 
  12    1.7204   -0.0001    0.0000    4.9977     5000     1732      7.55      151       11   35.3865  -34.0625  -43.9350   11.8000 
  13    1.7403   -0.0001    0.0000    4.9977     5000     1798      7.49      147       14   35.3865  -34.2025  -44.4925   11.8001 
  14    1.7604   -0.0001    0.0000    4.9977     5000     1708      7.33      130       18   35.3865  -34.3450  -45.0525   11.8000 
  15    1.7803   -0.0000    0.0000    4.9977     5000     1715     15.78      125       14   35.3865  -34.4900  -45.6100   11.8002 
  16    1.8003   -0.0000    0.0000    4.9977     5000     1728      7.36      103       14   35.3865  -34.6400  -46.1725   11.8003 
  17    1.8203   -0.0000    0.0000    4.9977     5000     1678      7.12       97       16   35.3865  -34.7925  -46.7350   11.8001 
  18    1.8403   -0.0000    0.0000    4.9977     5000     1762      7.52       86       15   35.3865  -34.9475  -47.2975   11.8002 
  19    1.8603   -0.0001    0.0000    4.9977     5000     1725      7.30       64       12   35.3865  -35.1075  -47.8625   11.8002 
  20    1.8803   -0.0000    0.0000    4.9977     5000     1789      7.45       76       16   35.3865  -35.2675  -48.4275   11.8003 
  21    1.9003   -0.0000    0.0000    4.9977     5000     1722      7.43       61       13   35.3865  -35.4325  -48.9925   11.8004 
  22    1.9203   -0.0000    0.0000    4.9977     5000     1770      7.45       71        8   35.3865  -35.6000  -49.5600   11.8003 
  23    1.9404   -0.0000    0.0000    4.9977     5000     1745      7.26       65       12   35.3865  -35.7700  -50.1300   11.8002 
  24    1.9604   -0.0000    0.0000    4.9977     5000     1640      7.34       76       15   35.3865  -35.9425  -50.7000   11.8002 
  25    1.9803   -0.0000    0.0000    4.9977     5000     1807      7.39       77       14   35.3865  -36.1175  -51.2675   11.8002 
  26    2.0004    0.0000    0.0000    4.9977     5000     1764      7.26       58       12   35.3865  -36.2950  -51.8425   11.8003 
  27    2.0204    0.0000    0.0000    4.9977     5000     1750      7.41       72       15   35.3865  -36.4750  -52.4150   11.8000 
  28    2.0403    0.0000    0.0000    4.9977     5000     1724      7.31       57       10   35.3865  -36.6575  -52.9875   11.8002 
  29    2.0603    0.0000    0.0000    4.9977     5000     1725      7.24       59       15   35.3865  -36.8425  -53.5625   11.7999 
  30    2.0804    0.0001    0.0000    4.9977     5000     1681      7.33       68       18   35.3865  -37.0300  -54.1425   11.8013 
  31    2.1003    0.0000    0.0000    4.9977     5000     1809      7.39       54        9   35.3865  -37.2200  -54.7175   11.8004 
  32    2.1204    0.0001    0.0000    4.9977     5000     1735      7.40       64       16   35.3865  -37.4125  -55.3000   11.8003 
  33    2.1403    0.0000    0.0000    4.9977     5000     1730      7.48       76       12   35.3865  -37.6075  -55.8800   11.8002 
  34    2.1603    0.0000    0.0000    4.9977     5000     1705      7.30      101       12   35.3865  -37.8050  -56.4625   11.8002 
  35    2.1803   -0.0000    0.0000    4.9977     5000     1799      7.47       85       17   35.3865  -38.0050  -57.0450   11.7999 
  36    2.2003    0.0000    0.0000    4.9977     5000     1680      7.34      138       15   35.3865  -38.2050  -57.6325   11.8001 
  37    2.2203   -0.0000    0.0000    4.9977     5000     1734      7.33      160       18   35.3865  -38.4100  -58.2175   11.8002 
  38    2.2403    0.0000    0.0000    4.9977     5000     1725      7.36      218       14   35.3865  -38.6150  -58.8075   11.8001 
  39    2.2603    0.0000    0.0000    4.9977     5000     1704      7.39      267        9   35.3865  -38.8225  -59.3975   11.8004 
  40    2.2803    0.0000    0.0000    4.9977     5000     1729      7.41      263        9   35.3865  -39.0325  -59.9900   11.8002 
  41    2.3003    0.0000    0.0000    4.9977     5000     1776      7.38      286       13   35.3865  -39.2450  -60.5825   11.8005 
