 PNT     QH        QK        QL        EN          M1       M2      TIME     CNTS       M3     A2        A3        A4        TT    
  42    2.3203    0.0001    0.0000    4.9977     5000     1800      7.17      247       10   35.3865  -39.4575  -61.1775   11.8005 
  43    2.3402   -0.0000    0.0000    4.9977     5000     1757      7.49      190       16   35.3865  -39.6750  -61.7725   11.8006 
  44    2.3603    0.0000    0.0000    4.9977     5000     1745      7.47      160       13   35.3865  -39.8925  -62.3725   11.8006 
  45    2.3804    0.0001    0.0000    4.9977     5000     1765      7.33      117       10   35.3865  -40.1125  -62.9750   11.8005 
  46    2.4003    0.0000    0.0000    4.9977     5000     1744      7.48       80       13   35.3865  -40.3350  -63.5750   11.8005 
  47    2.4203    0.0001    0.0000    4.9977     5000     1729      7.34       94       17   35.3865  -40.5575  -64.1800   11.8004 
  48    2.4404    0.0001    0.0000    4.9977     5000     1790      7.48       71       12   35.3865  -40.7850  -64.7875   11.8003 
  49    2.4603    0.0001    0.0000    4.9977     5000     1755      7.38       72       12   35.3865  -41.0125  -65.3950   11.8001 
  50    2.4803    0.0001    0.0000    4.9977     5000     1764      7.36       85       12   35.3865  -41.2425  -66.0050   11.8001 
  51    2.5003    0.0001    0.0000    4.9977     5000     1767      7.28       84       16   35.3865  -41.4750  -66.6150   11.8000 
